,tipo,bairro,preço,tamanho,quartos,banheiros,garagens
0,casa em condominio,Poço da Panela,R$ 1.700.000,238m²,3,2,3
1,casa em condominio,Pina,R$ 9.500,520m²,6,5,6
2,casa em condominio,Espinheiro,R$ 575.000,171m²,3,1,3
3,casa em condominio,Poço da Panela,R$ 1.750.000,238m²,4,1,4
4,casa em condominio,Boa Vista,R$ 6.000,200m²,6,1,7
5,casa em condominio,Sítio dos Pintos,R$ 1.300.000,350m²,5,5,4
6,casa em condominio,Madalena,R$ 1.400,100m²,2,1,1
7,casa em condominio,Poço da Panela,R$ 1.960.000,258m²,4,5,4
